2.817	0.337	-1.067
2.743	0.22	-1.099
2.658	0.093	-1.145
2.559	-0.071	-1.219
2.514	-0.131	-1.259
2.567	0	-1.23
2.649	0.166	-1.172
2.72	0.306	-1.119
2.75	0.359	-1.098
2.765	0.38	-1.089
2.77	0.388	-1.088
2.772	0.392	-1.09
2.773	0.397	-1.095
2.772	0.399	-1.1
2.77	0.396	-1.106
2.769	0.394	-1.111
2.764	0.395	-1.115
2.764	0.394	-1.128
2.778	0.397	-1.141
2.802	0.403	-1.148
2.831	0.399	-1.148
2.854	0.388	-1.131
2.858	0.371	-1.104
2.853	0.355	-1.072
2.843	0.352	-1.044
2.834	0.37	-1.029
2.829	0.384	-1.033
2.822	0.385	-1.05
2.821	0.37	-1.067
2.826	0.342	-1.081
2.832	0.324	-1.085
2.836	0.314	-1.084
2.841	0.311	-1.081
2.855	0.319	-1.073
2.861	0.325	-1.071
2.866	0.342	-1.064
2.865	0.344	-1.058
2.861	0.331	-1.053
2.857	0.302	-1.048
2.856	0.275	-1.047
2.857	0.272	-1.042
2.857	0.287	-1.034
2.859	0.308	-1.026
2.86	0.327	-1.017
2.861	0.323	-1.018
2.861	0.327	-1.013
2.862	0.36	-0.989
2.863	0.373	-0.981
2.863	0.41	-0.959
2.863	0.413	-0.956
2.863	0.395	-0.966
2.862	0.366	-0.983
2.862	0.347	-0.995
2.863	0.34	-1
2.864	0.34	-1.001
2.864	0.338	-1.002
2.863	0.337	-1.003
2.862	0.336	-1.004
2.861	0.335	-1.004
